idx,category,prompt,baseline,kl_single_L11,top1_single_L11,top1_band_k6,kl_band_k12,top1_band_k12
0,recall,What is the capital of France?,The capital of France is Paris.,0.022640369832515717,1.0,1.0,18.317277908325195,0.125
1,recall,What is the capital of Japan?,The capital of Japan is Tokyo.,0.038648366928100586,1.0,1.0,14.896111488342285,0.25
2,recall,Who wrote Romeo and Juliet?,Romeo and Juliet was written by the famous English playwright William Shakespeare. It is one of his most famous tragedies and is believed to have been written around,0.08060313761234283,0.90625,0.6875,10.782567977905273,0.28125
3,recall,What is the chemical symbol for gold?,The chemical symbol for gold is Au.,0.12135639786720276,1.0,0.8888888955116272,17.591386795043945,0.2222222238779068
4,recall,How many continents are there?,There are 7 continents in the world. They are:  1. Africa 2. Antarctica 3. Asia 4. Australia 5. Europe,0.13136935234069824,0.96875,0.84375,13.401138305664062,0.3125
5,recall,What is the largest planet in our solar system?,"The largest planet in our solar system is Jupiter. It is a gas giant, known for its massive size and stormy atmosphere. Jupiter has a diameter of approximately",0.11091987788677216,0.875,0.78125,14.415276527404785,0.125
6,recall,What year did World War II end?,"World War II ended in 1945. The war in Europe ended on May 8, 1945, with the formal surrender of Germany, known as",0.11201143264770508,0.96875,0.78125,12.254900932312012,0.28125
7,recall,What is the freezing point of water in Celsius?,The freezing point of water is 0 degrees Celsius (°C).,0.05460191145539284,1.0,0.6666666865348816,14.621344566345215,0.20000001788139343
8,recall,Who painted the Mona Lisa?,The Mona Lisa was painted by the famous Italian artist Leonardo da Vinci.,0.06972413510084152,0.9333333969116211,0.6666666865348816,15.52912712097168,0.0
9,recall,What is the tallest mountain on Earth?,"The tallest mountain on Earth is Mount Everest, which is part of the Himalayas. It stands at a height of 8,848.86 meters (29",0.060916103422641754,0.875,0.75,12.342723846435547,0.1875
10,recall,What language is mainly spoken in Brazil?,The main language spoken in Brazil is Portuguese. It is the official language of the country and is spoken by the vast majority of the population. Brazilian Portuguese has some,0.11957500129938126,0.90625,0.65625,11.734037399291992,0.1875
11,recall,What is the currency of Japan?,The currency of Japan is the Japanese Yen (JPY).,0.062459900975227356,1.0,0.7692307829856873,15.269489288330078,0.1538461595773697
